sample_name,category
Actinolite [HS-116.4B],Amphibole
Anthophyllite [BUR-4760],Amphibole
Hornblende [WAR-0404],Amphibole
Biotite (55%) [BUR-840],Biotite-Chlorite
Calcite [BUR-1100F],Carbonate
Chorite [WAR-1924],Biotite-Chlorite
Dolomite [BUR-1840C],Carbonate
Epidote [BUR-1940],TBD
Microcline [BUR-3460A],Feldspar
Orthoclase [WAR-RGSAN01],Feldspar
Sanidine (45%) [SALS.1s],Feldspar
Albite [WAR-0235],Feldspar
Andesine [WAR-0024],Feldspar
Anorthite [BUR-340],Feldspar
Labradorite [BUR-3080A],Feldspar
Oligoclase [WAR-0234],Feldspar
Garnet [BUR-120A],TBD
Obsidian glass [ODG-95],TBD
Glaucophane [WAR-0219],TBD
Kyanite [WAR-1002],TBD
Muscovite (80%) [WAR-5474],TBD
Olivine-Fa [FAY-01],TBD
Olivine-Fo [BUR-3720],TBD
Phlogopite [HS-23.3B],Biotite-Chlorite
Augite [WAR-6474],Pyroxene
Diopside [BUR-1820],Pyroxene
Diopside [WAR-5780],Pyroxene
Bronzite [NMNH-93527],Pyroxene
Enstatite [NMNH-R1440],Pyroxene
Wollastonite [BUR-5080],TBD
Quartz [BUR-4120],Quartz
Quartz slab,Quartz
Serpentine (200%) [HS-8.4B],TBD
Talc (280%) [BUR-4640C],TBD
Vesuvianite [SAL.1s],TBD
Zoisite (250%) [Zoi.1c],TBD
Blackbody,Blackbody
Serpentine [HS-8.4B],TBD
